type,year,country,series,value,id,image,feature,volume
RE,2002,Luxembourg,LUX-01,0.05,RE2002LUX-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/lu/Luxembourg_5cent.jpg,,
RE,2002,Luxembourg,LUX-01,0.02,RE2002LUX-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/lu/Luxembourg_2cent.jpg,,
RE,2002,Luxembourg,LUX-01,0.01,RE2002LUX-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/lu/Luxembourg_1cent.jpg,,
RE,2008,Malta,MLT-01,2.0,RE2008MLT-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/mt/Malta_2euro.jpg,,
RE,2008,Malta,MLT-01,1.0,RE2008MLT-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/mt/Malta_1Euro.jpg,,
RE,2008,Malta,MLT-01,0.5,RE2008MLT-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/mt/Malta_50cent.jpg,,
RE,2008,Malta,MLT-01,0.2,RE2008MLT-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/mt/Malta_20cent.jpg,,
RE,2008,Malta,MLT-01,0.1,RE2008MLT-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/mt/Malta_10cent.jpg,,
RE,2008,Malta,MLT-01,0.05,RE2008MLT-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/mt/Malta_5cent.jpg,,
RE,2008,Malta,MLT-01,0.02,RE2008MLT-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/mt/Malta_2cent.jpg,,
RE,2008,Malta,MLT-01,0.01,RE2008MLT-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/mt/Malta_1cent.jpg,,
RE,2001,Monaco,MCO-01,2.0,RE2001MCO-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/2e.jpg,,
RE,2006,Monaco,MCO-02,2.0,RE2006MCO-A-RE2-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_2euro.jpg,,
RE,2001,Monaco,MCO-01,1.0,RE2001MCO-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/1e.jpg,,
RE,2006,Monaco,MCO-02,1.0,RE2006MCO-A-RE2-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_1euro_2006.jpg,,
RE,2001,Monaco,MCO-01,0.5,RE2001MCO-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_50cent_2001.jpg,,
RE,2006,Monaco,MCO-02,0.5,RE2006MCO-A-RE2-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_50cent_2006.jpg,,
RE,2001,Monaco,MCO-01,0.2,RE2001MCO-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_20cent_2001.jpg,,
RE,2006,Monaco,MCO-02,0.2,RE2006MCO-A-RE2-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_20cent_2006.jpg,,
RE,2001,Monaco,MCO-01,0.1,RE2001MCO-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_10cent_2001.jpg,,
RE,2006,Monaco,MCO-02,0.1,RE2006MCO-A-RE2-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_10cent_2006.jpg,,
RE,2001,Monaco,MCO-01,0.05,RE2001MCO-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_5cent_2001.jpg,,
RE,2006,Monaco,MCO-02,0.05,RE2006MCO-A-RE2-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_5cent_2006.jpg,,
RE,2001,Monaco,MCO-01,0.02,RE2001MCO-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_2cent_2001.jpg,,
RE,2006,Monaco,MCO-02,0.02,RE2006MCO-A-RE2-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_2cent_2006.jpg,,
RE,2001,Monaco,MCO-01,0.01,RE2001MCO-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_1cent_2001.jpg,,
RE,2006,Monaco,MCO-02,0.01,RE2006MCO-A-RE2-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/mo/Monaco_1cent_2006.jpg,,
RE,1999,Netherlands,NLD-01,2.0,RE1999NLD-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_2euro_2001.jpg,,
RE,2014,Netherlands,NLD-02,2.0,RE2014NLD-A-RE2-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_2Euro.jpg,,
